Fasta headers	Protein IDs	Majority protein IDs	Norm_abundance_PAD4_rep1	Norm_abundance_PAD4_rep2	Norm_abundance_PAD4_rep3	Norm_abundance_PAD4_rep4	Norm_abundance_YFP_rep1	Norm_abundance_YFP_rep2	Norm_abundance_YFP_rep3	Norm_abundance_YFP_rep4	log2_PAD4_vs_YFP	pval_PAD4_vs_YFP
AT1G01080.1 | Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:45503-46789 REVERSE LENGTH=293;AT1G01080.2 | Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:45503-46789 REVERSE LENGTH=294	AT1G01080.1;AT1G01080.2	AT1G01080.1;AT1G01080.2	22.55215	23.17081	22.38588	23.28065	19.38233	19.13097	20.65741	20.69061	2.882043839	0.000845486
AT1G01090.1 | Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428	AT1G01090.1	AT1G01090.1	22.43967	22.51841	22.42552	22.30739	22.99726	22.65762	20.11384	23.07607	0.211549282	0.774659843
AT1G01320.2 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1787;AT1G01320.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1797	AT1G01320.2;AT1G01320.1	AT1G01320.2;AT1G01320.1	26.1841	26.32265	26.27964	26.18903	24.9228	25.01725	25.67949	25.47125	0.971158028	0.001873246
"AT1G01610.1 | Symbols: ATGPAT4, GPAT4 | glycerol-3-phosphate acyltransferase 4 | chr1:221950-224255 REVERSE LENGTH=503"	AT1G01610.1	AT1G01610.1	24.46395	24.22898	24.54998	23.84566	21.02102	20.51955	19.45831	21.18317	3.726628304	0.000113498
"AT1G01680.1 | Symbols: ATPUB54, PUB54 | plant U-box 54 | chr1:246411-248329 REVERSE LENGTH=308"	AT1G01680.1	AT1G01680.1	23.11001	20.76485	23.46176	25.20926	22.33123	19.79584	21.02467	20.14096	2.313294888	0.07487484
"AT1G01790.1 | Symbols: KEA1, ATKEA1 | K+ efflux antiporter 1 | chr1:284781-290869 FORWARD LENGTH=1193"	AT1G01790.1	AT1G01790.1	26.92897	26.08509	25.93139	26.20452	23.74386	23.6781	23.34462	21.46563	3.22944212	0.001442305
AT1G01800.2 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:293595-294888 FORWARD LENGTH=260;AT1G01800.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:293396-294888 FORWARD LENGTH=295	AT1G01800.2;AT1G01800.1	AT1G01800.2;AT1G01800.1	20.23727	20.02012	21.53735	21.06979	19.59266	21.53069	20.08434	19.78079	0.469013214	0.438383684
AT1G01960.1 | Symbols: EDA10 | SEC7-like guanine nucleotide exchange family protein | chr1:330830-337582 REVERSE LENGTH=1750	AT1G01960.1	AT1G01960.1	23.79759	23.95598	24.29852	23.61358	23.2422	18.09204	20.73712	22.5254	2.767225742	0.053791003
AT1G02080.2 | Symbols:  | transcription regulators | chr1:373694-386682 FORWARD LENGTH=2377;AT1G02080.1 | Symbols:  | transcription regulators | chr1:373335-386682 FORWARD LENGTH=2431	AT1G02080.2;AT1G02080.1	AT1G02080.2;AT1G02080.1	22.36292	23.10915	22.01556	21.872	21.37178	20.498	20.79424	20.21732	1.619573593	0.004722214
"AT1G02140.1 | Symbols: MEE63, MAGO, HAP1 | mago nashi family protein | chr1:403467-404401 REVERSE LENGTH=150"	AT1G02140.1	AT1G02140.1	21.51432	21.09333	20.99686	19.46764	20.30972	19.36329	19.28079	19.97349	1.036213398	0.089104057
AT1G02150.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:408779-410433 FORWARD LENGTH=524	AT1G02150.1	AT1G02150.1	26.06386	26.13361	26.44278	26.65171	25.08691	24.19445	24.97014	25.55821	1.37056303	0.004766073
